Q9BPZ3 P08574
Q15276 Q01105
Q13418 Q9Y3X0
O75665 Q9NS56
P07919 Q5XPI4
Q9H8V3 Q9UJY4
Q8IUH5 P20936
P00558 Q9Y6H5
Q9H6L4 Q15075
Q9BRR8 O43482
Q02790 P55327
Q7L2Z9 P52926
O43175 Q03426
Q9H6T3 O94901
Q7L0Q8 Q9NXU5
Q9NYJ8 Q9BTA9
Q14498 Q9H0W8
Q86TM6 Q9BXL8
P50747 Q9Y289
O75923 O43399
Q8TES7 P60228
P46940 Q15040
O75530 P20290
Q9BY77 Q9HAU0
Q5S007 Q5XPI4
Q9UBN7 P23497
Q9UL46 Q9H773
Q66GS9 O60341
Q15831 Q7L190
O15078 P08621
P12956 Q6XZF7
O15212 P78362
Q00610 Q02224
Q00987 O15294
Q15386 Q9Y3C5
Q7Z6E9 P15056
Q8WUA2 P0C1Z6
Q13627 Q9BY77
P23588 O75494
Q8IZT6 Q96AQ6
Q96T52 O14818
P25205 Q9NPJ6
P42336 Q99683
Q15154 Q9Y6D6
Q9BWF3 P22314
Q8TDM6 O76064
Q9UNY4 P83731
Q8TCJ0 P24001
P07949 P02545
Q9HCE1 Q8NHP6
Q9BXM7 Q9H9E3
Q9UM73 O15530
P14866 Q13490
O94874 P11274
Q96T52 O14578
P46934 O15212
Q7Z5L9 Q9Y333
P40763 Q8TAD8
O14662 Q96LS8
Q05655 Q96B97
P17931 Q13263
Q96EP0 Q86XJ1
Q14687 Q8TEQ6
Q9BQD3 Q5M775
P20936 Q12934
P51572 P51116
Q92947 Q13200
Q13617 P56537
Q92973 P98170
P54105 Q92769
O15294 Q9H765
O43379 A0FGR8
O94887 O75533
Q9Y3F4 P12270
O14745 Q9NW38
Q676U5 P49721
O75691 P22314
Q9UQL6 Q13596
Q6DT37 Q16513
Q96DI7 O75410
P57723 O00443
Q15058 Q86VP1
Q16666 P14678
P54252 O43809
Q8WWH4 Q99728
O00267 P20290
Q12929 Q9BYB0
Q99661 Q8N394
Q6P2H3 Q6NTF9
Q9BQD3 Q16543
O14578 Q9BWF3
Q9NV06 Q6NW29
O95816 Q8IWA0
Q6ZNE5 Q15149
Q9UBL6 Q9P227
Q99417 Q9ULW0
Q16533 Q9BSM1
Q13620 O14782
Q16560 O75665
P05387 Q96P50
Q9NVK5 Q9NRN5
Q69YN4 O60896
P49257 Q8NHQ1
Q9BTA9 O14578
Q8N5Z0 Q13490
Q9UER7 P46199
Q702N8 P50613
P14866 Q9Y5B0
Q8WV16 P49736
O60508 Q86VP1
Q9NR31 P19338
Q9NPJ6 P08581
Q9UJZ1 P05783
Q9UPN3 Q9Y5Q9
Q00987 P21127
O96019 Q14204
Q14498 O95487
Q8N5G2 Q5JTD0
Q9HCE1 Q16659
Q15149 Q9Y5S9
Q9UNM6 O96019
P62310 Q8IUD2
P07910 P49815
O43824 Q5VST9
Q9UPV0 P57078
Q14999 Q8N568
O60566 Q8N5H7
Q7Z6K3 Q8N0S2
O75582 Q8IY31
Q9H7C4 O43172
Q9NP58 P51532
Q9H4M7 Q9HBD1
Q96PY5 P35240
O14965 P07948
O43166 O43776
Q9P2D0 Q53EZ4
Q9Y5B9 Q14194
P61962 Q14142
O14745 P35711
P36406 Q9UJX2
P52701 Q8IYI6
Q8N3E9 P02549
P53621 Q7L190
P61289 Q6PKG0
P53041 Q96MF2
Q9UPN9 Q13625
Q9UGI0 O60701
P30291 Q7Z628
Q9P0K7 P20936
Q5S007 Q07889
Q99623 P48736
Q9NSP4 P38398
P52701 Q92538
Q5VT06 Q13546
O75530 O14964
Q15051 Q9HCE7
Q9ULT8 Q8N5F7
Q9BVQ7 Q7Z7L1
Q9UER7 Q13094
Q9H694 Q8TDM6
P46108 Q9Y6F7
P49736 P98082
Q14244 Q9NXF1
Q8TCU6 P25786
Q8TF76 P48436
Q9BUI4 P61964
O00232 Q96RK0
Q3SXY8 Q8WVM8
Q05397 Q13905
P35712 Q14315
Q9NVF7 Q92800
Q9UBW8 Q8N443
Q9HCE7 O43502
Q9Y6M1 Q8IWB7
O14979 P17600
Q9H7C4 O75031
Q8NDV7 Q9NX47
Q9Y6E0 P06400
Q15058 O14920
Q3KP44 Q9NQB0
P49815 Q7Z2W4
P52732 Q13438
P51572 Q96EV8
Q8N0Z3 Q8N5Z0
O75935 P49790
P61964 Q9BTX1
Q8WUM4 Q96GG9
P17931 O43164
O15016 Q9BRG2
Q13435 P0CB47
P50402 Q9UPT5
Q63ZY3 Q9H204
Q96EP0 Q9GZS1
Q9P2D0 O60437
P23508 Q8TDM6
P05783 Q6PF05
Q13835 Q14152
Q69YN4 Q9HCE1
Q6ZRQ5 Q96EA4
A5YKK6 O95817
Q9ULW0 Q9BXS1
P05187 Q14764
P55010 P11274
P78527 Q70UQ0
Q99623 Q9GZT8
Q9NV06 Q13535
Q86WA8 Q99747
Q9Y3C5 Q86VM9
Q15831 Q96A33
Q13501 Q8IZU3
Q14999 Q9GZT3
P49748 Q9BTX1
Q14999 O14920
P26368 Q99741
Q9UER7 P62191
P40763 Q13042
P51617 Q99627
P49796 O43663
Q10567 Q6NTF9
O15155 Q9Y2M0
O14796 Q14318
Q12873 Q9Y2J4
Q9BY77 Q9GZS1
P83731 Q8IYP9
P55196 Q13007
Q15007 Q01081
Q96L21 P14866
Q8TB36 Q7Z7L1
Q6PJ69 Q9BZE1
Q8NFZ5 O95817
Q99614 O15143
O94972 Q3KR16
Q96IZ0 O95347
Q13794 O43752
O15550 Q9P2E9
Q9UQL6 Q05086
Q96AD5 Q14C86
Q9UK99 Q9P2W3
Q9NVT9 Q92973
Q6PKG0 Q8IZ69
Q99424 P30154
O43390 P78332
Q5JY77 Q9Y2R5
P29590 P04843
P61962 Q9BWT7
O60826 Q86UP2
Q15118 Q99759
Q8N5G2 P02647
Q4G0J3 O43663
Q9H0L4 Q8TEA7
Q9UM13 Q08170
Q8TD10 Q9BXW9
Q13009 Q9H4P4
Q9P2N5 Q9P0L0
Q9UM54 Q6ZU52
Q9Y3B3 Q96T51
P03950 Q14BN4
O95208 Q96D46
Q13554 Q6UX06
Q12933 P05387
Q00059 O95140
P46734 P40855
P11182 Q8TBB1
O15016 Q8N9T8
Q96RU8 Q9Y388
Q96PX6 Q8TBA6
Q8IY31 P07686
Q8WUY9 Q13137
P30154 P53041
Q8N3E9 Q15758
P40939 Q96DX4
P14868 Q01844
P36406 P21860
Q13469 Q969H4
Q9H425 O75477
Q6ZMZ3 Q5JRX3
P04792 P46934
Q5T5P2 P38432
Q9H9L3 Q494R4
O14641 Q8N8U2
Q92597 Q96PM5
Q9UHA3 Q9NSE2
P23246 P52306
P22314 Q6UWD8
Q14498 O75694
O15226 P42126
Q6ZRI8 Q9HC52
Q7L0Q8 Q99728
P27816 Q6PIJ6
O00217 Q9H3R5
Q5T9A4 Q676U5
O43390 P49802
Q15334 P09874
P31943 O43809
Q92667 P54252
P20042 Q86W92
P19838 Q14680
Q8NFZ5 Q9NRD5
Q15154 P25205
O00203 P42566
Q13616 Q8IZT6
Q14781 Q6P3W7
O95159 P13569
Q13501 Q9Y230
Q13439 Q14258
Q5VU43 P18754
O95376 Q7Z460
Q8TCY9 P07948
Q9BQ24 Q12849
Q9NS91 O95758
Q9UPQ4 Q5SW79
P02489 P25054
Q8NFZ5 Q0D2I5
P46937 Q8TDY2
Q9GZT6 O14544
Q86YT6 Q9BVS4
P02545 Q9Y4K3
P51149 Q9Y6K9
A1L4K1 Q15311
Q32NC0 Q9NXU5
Q6P3W7 Q9Y3C5
Q504Q3 O75145
P09874 Q96PY5
Q9BYF1 Q9H254
Q96HA7 P40926
Q8TAP6 P04792
Q9UQL6 Q9H4M7
Q9BUL8 Q9C0C2
Q9NZN4 Q9NQB0
Q9H3P7 Q9BPX3
Q9NTI5 Q8IY31
P29590 Q5T8P6
Q8IWX8 O75925
O75553 Q96A49
Q4G0J3 Q71RC2
O15530 Q8WXA9
Q969V5 O43752
Q69YN4 Q9P1Q0
P09496 P11532
P61978 Q9P227
Q709F0 Q9BZW7
Q9UL46 P23246
Q9BXM7 Q69YN4
Q969X5 O75691
Q6NTF9 Q9NYJ8
Q6IPM2 P55072
Q13418 Q69YN4
Q9H9E3 Q5S007
P49754 Q96RK0
O43390 Q14247
Q92574 P57052
Q9UKG1 Q9P2D0
P27708 Q9UGI0
Q9Y4G6 Q2M329
O00459 Q16186
Q13469 Q6W2J9
Q08AD1 Q2M1P5
Q08379 Q9NP31
Q15696 Q14687
Q7Z2W4 P35222
Q8IWA0 Q9Y4J8
O75530 Q14527
O75665 P17600
Q92466 O96017
O96008 P20290
O60674 Q96EV8
Q9NWA0 Q9Y4W6
Q9HCC0 Q9BW91
P17980 P06753
Q8TEQ6 Q96JN8
Q05397 Q9NYB9
P78317 Q7Z333
Q6P2Q9 Q68CZ1
O60508 P41161
Q96RK0 Q9H2G9
O75781 Q8TAP6
Q9Y4X5 O75747
Q9BXM7 P35658
O95319 O94927
Q9NTX7 Q66GS9
Q8TCJ0 O75400
Q9BS16 Q9H4M7
O75665 Q9HC98
Q9NQW6 Q96RP9
P43405 Q8NC56
Q8N9W6 P42695
Q96LU5 Q00987
P62753 P52306
Q5SW79 Q9NWH9
P50542 Q13618
Q9NRC1 Q6Q0C0
Q7Z7L1 Q709F0
Q96G01 Q9Y5K6
Q9ULC3 P68400
O95714 O43542
Q96F24 Q14142
Q86UY6 Q9BVN2
P41212 O75934
O43683 Q7L590
Q15058 Q9Y2A7
Q9NQW6 Q14203
P11274 Q68D10
Q9NS91 P11274
Q7RTV0 Q99615
P05387 Q8NCN4
Q9H3U1 Q5U5Q3
Q9UQB3 P51572
P30679 P26368
Q3SY00 Q676U5
Q9BXJ9 Q9BXW9
Q6ZW76 P43243
Q96GG9 O14578
Q0JRZ9 Q05086
Q8WUY9 Q9UNM6
Q8WXA9 Q9UQ80
Q38SD2 P31943
Q15334 Q5S007
Q9NVR5 O75570
Q7L8J4 Q15029
P52594 Q5SQN1
Q05397 O95721
Q9BTX1 Q9UPT6
O75521 Q6P2C8
Q4G0J3 O15067
P40938 Q9BV73
P04629 P29597
Q4VCS5 P62258
Q8N8X9 Q8TAD8
Q6UB99 Q53EZ4
Q9UPQ4 Q86YT6
Q9H7C4 Q02241
O43175 Q96G97
Q9NQB0 Q6IQ26
O43896 Q96KS9
P07949 P09874
Q9BQG0 Q96MW5
Q9BZV1 P61966
Q9NVN8 Q96ST3
Q9NUQ8 O00444
Q96KQ4 Q8N205
Q96D59 Q9P2R3
Q8NCM8 Q96CA5
Q02241 O95900
Q13099 P04843
Q9UBN7 O43318
P33981 P55209
Q15831 Q8NHQ1
Q9NZS9 Q9H4M7
P52209 P10515
Q3B820 Q8NE79
Q16513 Q9BT92
Q8TEQ6 Q9H0E2
O95835 P42704
P29323 Q8WVM8
P78362 Q8N5U6
Q5S007 P55735
Q32MZ4 Q92828
Q9BZE1 O94874
Q92624 Q9BXF6
Q8NHG8 Q86U86
Q9UJ41 Q5T1C6
Q9H2G2 Q6IQ23
Q16531 A2RUR9
Q8TBF4 Q9Y4K3
Q99607 Q12986
O15169 Q99549
Q96RG2 P28072
P35052 Q6ZNJ1
Q13263 Q9NVR2
P34897 Q5VT06
P49821 Q99615
Q5EBL4 O75027
P20290 Q92624
P35222 O43609
Q6IQ23 P46934
Q6ZNL6 A7MCY6
Q8NHQ1 Q9NXD2
Q9NP78 Q96PK6
P35227 Q02218
Q96G01 P53992
Q02241 O43542
P35240 Q9Y4X5
Q02880 Q9Y6E0
Q9Y4X5 Q9H0E2
Q969G3 Q86TW2
P49366 Q9UJT2
P61964 P42226
A4D1E9 Q96G01
Q92734 P42704
Q5VIR6 P00558
O14662 Q8WVD3
P42858 O95218
O43933 Q9NYB9
Q14596 Q86V48
Q16836 Q9NZJ4
P04629 Q7Z7G8
Q9Y2W6 Q9HBD1
Q66GS9 Q9GZT6
P62753 Q8TEW0
Q9NTX5 P78317
P56537 Q9BYN8
O43236 Q9BSI4
Q9Y4K3 Q5T7N2
Q86V48 Q86TW2
Q9C0C2 Q8TBF4
Q99614 Q9ULG1
Q13114 Q5JTZ9
Q13875 Q460N5
P02545 Q5BJF6
P20936 Q16531
P30622 Q9Y5K6
Q6P2H3 Q5T7N2
Q13263 Q99700
Q6NXT1 P60468
Q9UKK9 Q5S007
Q9H0E2 Q96EZ8
Q9NVX0 Q9C0B1
P33981 O43196
Q8TD31 O75150
Q9UDY2 Q9UNM6
O75674 Q8WV16
O00560 Q8WUF5
Q13625 P33992
P05455 Q9H2G9
Q99741 O95478
P54252 P0C1Z6
Q9Y5K8 Q9BRK4
P38398 Q13425
Q6P996 P98082
Q7L0Q8 Q9UBE0
Q9Y675 Q92538
P19838 Q8NFF5
Q9H4M7 O43752
Q9Y276 Q96R06
Q6ZMZ3 Q01844
P12956 O14777
Q9GZS0 P11177
O94906 Q6UX06
Q9NV06 Q16512
P05387 Q8NE71
Q9H0A0 Q96EV8
P14866 O14777
P43307 Q13164
Q9BZV1 Q15427
Q16666 P17152
P33241 O95248
Q8NB16 Q4G0J3
Q92878 Q9UDY2
O00212 P23588
P42704 Q9H4P4
P62316 Q49A88
Q13200 Q14457
P98170 A6NEM1
P07948 Q9Y484
Q9H6L4 Q15056
O60637 O95071
P55072 Q9Y4D1
Q8ND24 P62258
P04629 Q8N137
Q14789 Q96LK0
O95816 P61964
Q9GZV5 Q9H4M7
Q9UBW8 Q96MY7
Q99549 P49761
P61962 Q13098
P31943 Q9P2F6
Q9NSE4 Q08170
P46934 Q9Y6M4
P19338 Q9UKW6
Q68CZ6 P07948
Q9H422 Q06587
P13569 Q15311
Q14596 Q6ZU80
P35240 Q15118
Q14315 A5YKK6
Q16659 Q96PM5
Q8N3X1 P04629
Q9BSM1 P46108
O60641 Q99627
Q86UY6 A6NC98
Q9Y4C8 Q14444
Q9HCE1 Q96EA4
P11532 P51149
Q9NY99 Q96MY7
P11177 P24928
Q8NG11 Q86XZ4
Q8TB24 P20936
Q9UJY1 Q99661
P31943 O14893
P19878 Q5W5X9
O95661 Q8NG50
Q5SQN1 Q13425
Q96GA3 Q12933
Q8TAF3 Q9Y5S9
P04629 O60437
Q9C0B1 Q49A88
Q8NCN4 Q969S9
Q8IWA0 Q5T9A4
Q99683 Q8NHQ8
Q13501 Q9H5N1
Q8WYQ5 Q9P0K7
Q8NFZ5 Q15392
Q13523 P33316
Q96RL7 O14576
O60496 Q9Y4F3
Q9NX07 Q02880
P13639 Q93074
O95639 P46778
Q9C0E8 Q8N5R6
O75031 Q9NPJ6
Q8IYI6 Q12873
Q96LD4 Q7Z6K3
Q86VM9 Q9NRI5
Q69YN4 P29144
P15735 Q13427
Q9UBK9 Q8WTW3
Q9NRI5 Q9UJY1
Q9P0L0 Q96KN7
Q86U42 Q6PJI9
O75031 Q9HB71
P78332 P78527
P0C1Z6 Q6ZNL6
O14654 P51116
Q08379 Q6P2Q9
Q14244 Q15149
Q6P4A8 Q15669
Q9Y5S9 Q86W92
Q9BZF3 Q96MA1
O75208 Q13137
Q9H0T7 Q96AX1
P51116 Q13347
Q13164 O75665
Q9BYB4 P14866
Q68DA7 Q8TDM6
Q9C0E8 P35240
O00233 Q9UPV0
Q9Y4H2 O00231
P31948 P36894
O60645 P38398
Q14318 Q14596
P26368 Q96AC1
P02100 Q9GZM8
Q9UBC2 P19838
P54098 Q9BW83
P98082 Q9H0E2
Q9NXF8 Q01844
P11362 Q13490
Q86YV0 Q9BYG3
Q96FS4 Q16543
O95235 Q8N4L8
Q15029 P60174
Q9BYN8 Q07666
Q9UPT5 P52815
Q9HCC0 P0C6C1
P55209 Q9UKG1
Q93034 Q9NQW6
Q86UU1 Q8IXJ9
Q86Y07 P04792
Q14258 O60313
Q13546 Q9NZ43
Q9NQG5 Q9Y613
Q5XPI4 Q13625
Q15006 O15042
Q14142 P18859
O00311 P43405
P09012 Q96RQ3
Q6IQ23 Q9UJA3
Q96SB8 P51970
Q7Z2W4 O75603
P52429 P12755
P34897 Q86WN1
O60306 Q92974
P51991 O60306
Q96A33 O00522
P31943 Q9BQ67
Q8TAP6 Q9BSK4
Q00610 Q9UMS4
Q9P0P0 Q9NW38
Q8N6H7 O75716
Q8IZD9 Q9HCE1
Q14258 P23497
P48047 Q13627
Q13191 P38398
O15294 Q9NP79
O75150 Q9H6S0
Q92973 Q93099
Q96TC7 O75027
Q96PM5 Q9NRD5
A0PK00 Q13148
Q9HD26 P10636
P98175 O14773
Q8TAP6 Q96I25
Q96EK5 O94992
P47813 Q5U5Q3
P21860 Q9UPM8
Q14258 P17980
Q9NW38 P04843
P36776 Q9H1E3
Q9P1A2 Q5XPI4
Q96Q15 Q8N9I9
P0C1Z6 O75494
Q96QF0 Q6WCQ1
Q92599 P05455
P20936 Q8NFZ5
Q9P2P6 Q6P996
Q13523 P23508
Q9BZV1 P19338
Q01804 Q14123
A7KAX9 Q96DI7
P26651 O43426
O14727 Q9Y2R5
Q16543 Q8IVL1
Q5T7N2 O43166
O00444 Q8TDY2
Q6XUX3 Q9BQA1
Q92630 P05187
Q07889 P53041
Q9NNW5 P35240
Q9BYV6 Q9Y6H1
O14908 Q9ULD6
Q9UHR4 Q92888
Q5VZM2 P19838
O14654 Q69YU3
O95721 Q96DI7
Q96QF0 Q96AQ6
P27708 Q9UDY2
Q6ZMI0 Q8WVD3
P56545 O14776
Q08AD1 Q99417
Q63HQ0 O75530
Q7L0Q8 P53350
Q92630 Q96ST3
Q9Y3C5 Q8IWC1
Q13310 Q8N6Y0
Q8IZY2 Q6IPR3
Q96GA3 Q9H4M7
Q96T37 Q6PD62
P62258 Q99615
Q9NPC3 Q8IXJ9
Q15392 Q9UNE7
Q12873 Q9NR56
P30260 A1L4K1
Q99570 Q13347
P27144 Q9UJZ1
Q9BSK4 Q13625
P13569 Q92538
P62191 Q8N137
O95235 P49757
Q9NUQ6 Q8NI35
Q92538 P29597
Q9HB71 Q9GZM8
Q03468 P84098
Q9H270 Q8NF91
Q9NZ32 Q9UPQ9
O43175 Q08379
P41743 P36542
Q14676 P14866
P14866 Q96N67
Q14980 O00203
Q16543 O15116
Q9Y4H2 Q96H55
Q8N4C6 P35240
Q96SB8 Q9NRF2
Q13395 Q9UBN7
P51572 Q8WUA2
Q9Y5B9 Q8IWJ2
P49755 Q9P2W9
Q9H5K3 Q9UBT7
Q9GZT6 O14936
Q9BRS2 Q96PU5
Q14498 P22061
Q8TEH3 P27708
Q92734 Q15021
O95208 O60566
Q99816 P12004
Q6IQ23 Q9NW13
Q9H8V3 A4FU01
O94992 Q96LJ8
Q13618 O60906
Q9Y5U2 P49756
P08621 Q8WWW0
Q14247 P78527
P61966 Q8IV01
Q92974 Q9UPQ4
O94763 P12956
Q99728 P55735
Q13435 O15294
A6NHR9 Q86UL8
P40763 P20618
P46778 P30084
Q12996 P46934
P10636 O94992
P38432 Q13523
P28288 P14866
Q9GZS0 Q13011
Q07666 Q9NQU5
Q12849 P07686
Q6P2Q9 Q96J01
P46199 Q12873
Q13131 O75116
O75923 Q69YN4
Q92805 Q8N9T8
Q8WUY9 Q86WU2
Q96PU4 Q9BPX3
P26368 P32019
Q6IQ23 O75157
Q6P3W7 Q5VWJ9
O75943 Q2M329
P40925 O95072
O00231 Q96CV9
P35568 P19838
Q8TEQ0 Q2NL82
P53621 Q15149
Q676U5 O15155
O15357 P24928
O95613 Q13618
P55196 Q9UL15
Q13724 Q9H0E2
Q15058 Q9BYE7
Q9Y2D8 Q9Y680
Q8TAF3 Q9C0I1
Q9H4M7 P35527
Q8WXH0 Q8TF30
Q5T2W1 Q14004
Q9NNX1 Q86VM9
O00443 Q8IUD6
O15417 Q96CN9
Q8IY31 Q15831
Q96JN8 Q6DKK2
O14964 Q9NVD7
Q8WUA4 Q5S007
Q9BXW9 Q9UM73
Q8WU79 Q5VT06
Q9Y252 O15020
Q8TCY9 Q08378
Q15058 Q92674
P04843 Q14244
Q9UJ41 O75528
Q9BV68 O15116
Q6ZW49 Q15392
Q15051 Q9P2R3
Q01974 P49821
O95235 Q8IVH8
O95816 O15294
Q5JTD0 Q96EZ8
Q16204 Q7Z434
P23246 O75494
Q9NX62 Q6ZMV9
P61978 Q92614
O15259 P31943
Q6PIJ6 Q15382
P41212 P57078
P12956 Q14244
Q86Y07 Q16531
Q9UPV0 O43809
Q16543 Q9Y233
Q86XR8 O43252
Q66GS9 Q14254
O94992 Q6ZXV5
Q9H6L4 O14579
P04629 P11049
Q92624 O75351
Q6PKG0 Q9Y575
Q9Y6K9 Q99700
Q13435 P21127
Q9UM82 Q8WV74
Q92870 Q13263
Q63ZY3 A1L390
P11801 P20618
P27708 P42704
Q96I25 Q4G0J3
Q4G0J3 O14544
O60907 Q15637
Q8N6M8 Q69YN4
P42229 Q9UHX1
O95218 Q96R06
P78545 Q9BRR9
P34897 Q9UJX2
O95071 Q02218
P40939 Q6T4R5
Q9P2W9 Q14194
Q86V81 Q96RG2
O95347 P51948
O96008 Q8TD31
Q69YN4 O43660
Q16513 Q9H5K3
Q92769 Q6NSJ2
Q13263 P54198
Q5THJ4 Q71F56
P31943 Q9P0K7
Q13263 P49354
Q14432 P43243
Q14134 P62258
Q9BSM1 Q9UL46
Q14764 O75355
Q6IQ26 Q96BD8
Q8IZL8 Q9Y2A7
O14893 Q9Y4W6
Q6ZMZ3 P35250
P08708 Q9UHD8
Q86UU1 Q00059
Q9NRI5 Q96RU8
Q15149 Q8ND30
O95835 Q8NE71
Q6J9G0 Q92734
Q92828 P61221
Q9BYF1 Q5T5P2
O00257 Q96KS9
Q7Z2W4 Q9NS91
P31751 Q9GZY8
Q8NFZ5 Q96LB3
Q00610 O75494
O76031 P25789
P46937 P57775
Q9Y6S9 Q9P2D0
Q6P2Q9 O95758
Q15154 Q14789
Q15393 P49257
Q13415 Q15058
P61758 A5YKK6
Q05682 Q676U5
Q92878 O00560
Q08AE8 Q12834
P02008 Q9H8V3
Q9NVI1 Q8IZL9
P31943 P46821
P60033 Q96G01
Q96PM5 Q15392
Q17RY0 O75674
P51955 Q70UQ0
P22061 O14828
P12004 P34897
Q9UFE4 Q02241
Q9BXL7 P09619
Q9NS87 Q9NX47
Q13435 O75694
Q13825 P55072
Q9C0E8 P46778
Q14258 O43795
P33993 Q9NRI5
Q14155 Q15334
O60437 O94972
Q9BXC9 Q12846
Q5S007 Q96EH3
Q8NFZ5 Q9NZZ3
Q9P2R3 P15924
P28288 O75175
P02768 Q8NEV8
P51532 Q15542
P20963 Q12959
Q9Y375 Q13418
O95235 O43402
P07919 Q13237
Q76MJ5 O60313
Q9HAB3 P83436
P61421 P49761
P50570 Q12899
Q8NFZ5 Q8N488
O95817 Q9H8V3
Q96ST3 Q15154
O43776 Q99959
Q9NWD9 Q99728
P20290 P09543
Q96T60 Q9BXW9
Q8TB24 P12004
P40938 P60900
O75351 Q15050
P12004 P55196
Q6ZNE9 P47712
O15294 Q5T1C6
Q15811 Q8N0Z3
Q01105 Q14203
O14788 Q14643
Q13613 Q9ULT8
O43747 Q6PJT7
O43402 P78362
Q9Y2R5 Q01844
P35240 Q8WXH2
Q8NFH3 Q7Z5K2
Q9Y570 P00540
P25205 P43307
Q9Y250 O75582
Q8N122 Q15555
O75771 Q9UBN7
Q9Y333 Q9BRK4
Q9Y6D9 Q9NTI5
P38398 P52948
P12004 Q14684
Q9UQL6 Q9P0J0
Q6P2Q9 Q8IUH3
Q16186 Q9UK32
P42695 P42858
O95140 Q9C0C2
P51957 P27144
Q9ULT8 Q08379
Q9Y2L1 Q15723
O60285 A4D1E9
Q08170 P17931
O15226 Q69YN4
Q96CW1 Q14643
Q8IYI6 O94992
Q01415 Q15075
O00763 Q3MHD2
Q16659 Q9H222
Q9C005 Q9H4M7
Q9NX70 O15287
O14893 Q14999
O43166 P53041
P35527 O60759
Q9Y230 Q13470
O60504 Q15147
P31943 Q9H4I3
P52735 O43166
P42858 P09874
P46937 Q7Z7L1
P49748 P62318
Q9UJU6 Q15542
Q9Y4I1 P43243
Q7Z2W4 P36776
Q86XK2 Q96JH8
P61221 Q9Y2A7
Q03468 Q13131
O43482 Q6PML9
Q7Z2W4 Q8WWW8
Q12797 P27816
P12004 Q9BTD8
Q92900 Q53LP3
P51572 Q6IQ23
O43747 O75530
Q9BQG0 Q14671
Q9BXM7 Q86UY6
P49736 Q658Y4
P40937 Q6PKG0
Q9NRW7 Q9NQW6
P50402 P60033
Q8N137 P08567
Q15287 Q69YN4
Q9Y3T9 P35568
P02647 Q9BV73
Q9NVD7 Q8TEH3
Q9H6D7 P57740
P45973 P84098
Q96LD4 Q96PE3
P98082 O60645
Q9ULG1 O75530
Q8TDY2 O43353
Q13011 O14893
P06733 P56945
Q9Y6K9 O00232
Q96T76 P43246
O43747 Q9UNG2
P14866 P12004
P23919 Q92624
P17480 Q07912
Q4VC05 Q8IYX3
A6NI28 Q12980
Q9BZV1 Q8WXD5
P41212 Q15417
Q8WU90 Q08AD1
O00459 Q5THJ4
P35251 O00444
O95714 P42858
Q13794 O96019
P04792 O75747
P05455 Q9H2G2
Q9UM82 Q00059
P78527 Q9HCE7
Q13835 Q8N3X1
Q92545 Q9NNW5
Q14204 P56945
Q70UQ0 P23508
O00560 P62753
Q13724 P68400
Q9NX70 P46108
P14866 O43809
O14744 P20618
Q8TEW0 Q96HW7
Q9UKG1 Q13435
Q9Y512 O75521
O95661 Q8TER5
Q9H2J7 Q15051
O00459 Q6UB99
P53350 Q7L190
P61201 P53350
Q9UI12 P62314
P78317 Q9UNE7
O75616 Q9Y4Z0
P08581 Q9UKN7
Q2TAC2 Q9H4M7
O95816 Q15025
O95071 Q07157
Q9H0J4 O14544
Q9UEU0 Q96IZ0
Q9Y285 Q92838
Q15029 O43933
P60468 Q9Y5S9
Q16531 P07949
Q5VSY0 Q9H967
Q00059 Q02224
Q14980 P13639
P21359 Q86UY6
Q86VP1 O95319
Q9UK45 Q13546
O15381 Q58EX7
P78344 Q99570
Q93070 P61964
Q86SG6 P55884
Q9H4M7 Q8IXZ2
Q92817 Q16543
Q8WU79 O14979
O43295 Q9BY27
P78527 Q5U651
O14818 O15287
Q96AD5 Q8TEW0
P04792 Q8WU20
Q96B97 P12757
Q8NDV7 Q15139
Q96RK0 Q05397
Q5T447 P04792
Q8NI27 O95159
O14548 P08581
Q13616 Q13554
Q92615 Q8TD31
P53355 Q00613
O43809 Q8NA72
Q9NVJ2 Q86XR8
P51116 Q99457
P48023 Q96T52
Q8WUM4 Q9UKE5
Q8IZ69 Q15025
Q96QT4 Q96T52
O75052 Q96RP9
Q96CV9 O00461
P04629 Q12933
O14818 P09874
Q9Y383 O43933
Q9UHW5 Q9BXX3
Q6J9G0 O43399
P05387 P52732
Q9UBC2 Q13286
Q9NZZ3 Q15276
Q9C005 Q9BVG3
P06576 Q9H0A0
Q7Z7C8 Q9NPG2
Q9BT17 Q5VYK3
Q07157 Q9UMS4
Q5T5Y3 Q9H8V3
Q9HD67 Q9NV58
Q13011 Q9NR31
Q8N465 P35712
Q8WXH0 Q86W42
Q8NF91 P40763
Q9HBD1 Q9HBG6
P41252 Q96BD5
O75031 Q92947
Q92667 Q69YN4
Q14258 Q99683
Q14498 P15735
Q13825 Q9UPQ9
Q9HCE1 P25054
P49720 Q15645
P04629 P62306
Q7Z2W4 Q9UQQ2
Q14847 P49321
P37173 O00560
Q13263 Q8IWR1
Q15075 Q9NP66
P46734 P48681
P61289 O95235
Q7Z736 Q14289
Q14684 O43255
P38398 Q9Y4K3
Q13099 O75791
P49720 P46100
O43639 Q3MIX3
Q9UHD8 Q9Y6M1
Q15021 Q9BYG3
P42566 Q96A44
Q9NYY3 Q12959
Q9UHY1 Q8WXH0
O75385 P20290
O95359 O15155
O00499 P50613
Q14088 Q8N5H7
P56962 O14964
