P51946 P29083
Q92905 Q9NY93
Q7Z769 P60201
O94777 Q9UHW9
Q9NUH8 Q8TED1
Q9H2C0 P17987
Q8IWL3 P82930
Q9H5V7 Q9ULM3
P39019 Q92522
Q9H300 Q8NCN5
Q9BUJ2 Q96DV4
P32245 Q15084
P35268 P05388
Q9Y2T7 Q8TCC3
P61513 Q9Y221
Q8NFG4 P50991
Q13428 Q9H9Y6
Q9Y4X4 Q92618
Q6NUN9 P25398
Q9Y5T4 P62424
Q8IZU0 Q9ULD5
Q9UJW3 P53539
A1A5C7 Q5T749
P01106 P31153
Q9UL40 Q9NRX2
Q3ZAQ7 Q9HD20
P62899 Q03188
P10109 Q9HC38
Q9H6H4 P02808
Q96MX3 Q9UEG4
Q86U44 P40227
Q96K58 Q3KQV3
O15446 P62424
Q9NR12 Q13642
Q9NZC7 Q9H2U1
P25440 Q8WXX5
Q9Y5T4 Q9BYD6
Q99081 Q92793
Q9H2K0 Q9P0M9
O95365 O14497
P02778 P61073
P63279 O75643
Q92793 P53539
Q7Z769 P27449
P54368 P80188
O43638 Q9Y678
Q7Z7H8 Q9NQ50
Q9UI95 P17028
Q9NWS0 Q9NX58
O00214 P31150
O75478 Q15648
Q9H9D4 Q96BR9
O95786 Q86YP4
Q13520 P14060
O75190 Q68E01
Q8N720 Q9UI95
Q9UPP1 P49005
Q8WZ60 Q9NR12
Q9H6H4 P11836
Q8WUU5 Q96KM6
Q15022 P01583
Q9NR33 Q9NS73
O95922 Q9UJX4
O94761 O75419
Q15022 Q96MU7
P61296 Q0D2K3
Q16637 O95785
P49450 Q9H8H2
Q13867 Q9BQ95
Q9NWS0 P13010
O14880 Q86SX6
P25090 Q6NXT4
Q9H244 Q9BVG9
P55769 P61313
P61313 P62857
P32239 P14416
Q8N239 O15534
Q9H8T0 P54274
P15923 P62899
Q04864 Q9UMX2
Q9NR77 Q96SK2
Q96IF1 Q9H0D2
P61081 Q99714
Q8N1G0 Q86YP4
P36954 P30519
Q06136 Q9BQ95
P62256 Q9UGP5
Q13485 P61244
P01106 P19447
Q9Y2T7 Q9BQC6
P10176 Q8N511
O95793 Q9UPY3
Q6IAA8 Q9UIQ6
Q15022 Q9UQR1
Q8N6T7 O60216
O95994 P05026
Q9H2K0 Q5T653
Q8TDT2 Q8NHS1
P02686 Q7Z2E3
Q92905 O00303
Q96EB6 P23025
Q16649 Q96IK5
Q1KMD3 Q5BKZ1
Q15562 Q9UHF7
P10176 Q7L2E3
P61513 O95793
Q6ZSS7 O14520
P61513 Q7L2E3
Q15022 P51610
P49368 Q9H832
O94761 P05198
Q9UID6 Q3KQV3
P62805 Q4LE39
Q9H244 Q8NEW0
Q96EG3 O43167
Q7Z6I5 O14901
Q3B8N2 Q9Y6M7
Q13061 Q8WWG9
Q9H2F3 Q9NZC7
Q96Q45 Q9NVC3
Q16581 P30519
Q12905 P62899
Q13227 Q9UL63
P43681 Q8NDV1
Q9NZH6 O43741
Q9C002 O43676
Q69YG0 Q9UI14
P61513 P62851
O15466 Q8TED1
P10176 Q9NP80
Q15554 Q9UKJ3
Q8TDS5 O43741
P41002 Q08211
P21675 Q14145
Q9P1U0 Q6EEV4
Q16635 Q8N3Y3
P40429 Q9H8H2
P41091 Q496A3
O00716 P16615
Q9Y2A9 Q96S52
P15374 Q9P215
P61619 P40429
O95600 Q6P1R3
O14901 Q9Y5L4
Q13127 P49411
Q16873 P10620
Q8N680 Q49A26
Q9NRC8 O14497
Q15047 Q8WUB8
P54219 Q9HAS0
Q12952 Q9Y618
P35270 Q08257
O75475 Q7Z3K3
P10242 P62805
Q8N5W8 O43396
O75396 Q13428
Q9Y2N7 P27540
Q86YP4 Q9UBB5
P60201 Q96HR9
Q8IZR5 C9JCN9
Q12906 O75569
P49411 Q96DV4
Q96IK5 P17900
O14958 Q96JP5
Q9Y258 O14625
Q96K58 Q8N8A6
P49184 Q5VW38
Q04837 Q9BSJ5
O60671 P06746
P13284 Q9UPM9
Q9Y3D5 P49643
Q9Y2G3 Q9NV96
P30519 Q9H2U1
Q9Y3E0 O95182
P35268 P62266
Q9H9Y6 Q6EEV4
P30876 Q9ULU4
Q16581 Q9HBM0
Q9H6L2 Q9UPM9
Q53TN4 Q9Y6X1
Q9Y3I1 P50991
Q13520 Q5TGU0
Q8WUU5 Q96QT6
Q15022 Q96KM6
P41227 Q09161
O95793 P55786
Q14534 O43889
Q3SXZ7 P17987
Q8N5W8 Q9UGI8
Q96DZ7 O75396
O60885 Q01469
O95786 B2RD01
Q8N6T7 P62750
P08047 Q02086
Q2YD98 Q96EB6
Q9HCE5 P23528
Q9HAW0 Q9UNL2
Q96S59 Q15828
P01106 Q9Y3B2
O95793 Q969S3
Q01831 P62805
Q9UKX7 Q92917
Q9NWT8 Q4LE39
P62805 Q9UBW7
Q6IWH7 Q9Y2R4
O14880 Q06432
Q9NVR0 P17900
Q9UGP8 Q86SK9
Q9BX68 Q6YN16
P49411 Q08257
Q9NPI1 P05198
P32239 Q9NPD5
O94761 Q99832
P61244 O15516
P35244 Q9BUQ8
Q13887 Q9ULX6
Q9BYX4 O75569
Q5JX71 P57739
Q9BYX4 Q96C10
Q9NW08 Q9NRX2
Q8WYB5 Q9UNL4
O75444 P01100
Q92845 P13284
P63279 Q96RE7
O95786 Q9H1Y0
O15218 Q71U36
O14880 Q96EY1
O60315 Q13330
Q9UGP8 Q8TCT9
Q9Y3E0 Q9UI14
P62805 Q68DK7
Q9H1X3 P40429
Q5VVX9 P02765
Q13304 Q6NZ67
Q32P28 P37108
Q8IWL3 P26358
P46013 Q6SPF0
P10176 P56556
Q9BSJ5 Q9BX68
Q9BYD6 Q8TCC3
Q16254 Q8IWI9
Q16637 Q9NPJ8
Q8IZU1 Q96CB8
Q9NR30 Q04609
O75444 P63279
Q12947 Q04656
O75593 Q14919
O15446 Q969J2
Q9NRC8 Q13428
Q9Y242 Q13330
Q4LE39 Q13330
Q9C0D9 P67870
O15235 P38117
Q58F21 P49848
Q9H2K0 P02808
P86480 Q14119
P10176 Q9Y3D3
Q12857 Q8NFD5
Q9P003 Q5T9L3
P61513 Q13206
O94761 Q6YN16
Q92905 P35268
Q9UI95 Q6DKI1
O95786 O00391
P10176 Q96EY8
P01106 Q5TAX3
Q86Y78 P35610
Q5THK1 O60884
P23368 P31939
Q9NXR8 Q96IZ7
P49184 Q9NY97
P30044 Q99757
Q9Y692 Q15596
P48167 Q3ZAQ7
O15231 Q8WWB5
Q9NRC8 Q96L73
Q9UBW7 Q9H2P0
Q8N6T7 Q69YH5
Q9HAF1 Q969R5
Q9H2K0 P05090
Q9UL40 Q5SSJ5
Q7Z4V0 Q8WWB5
P10244 P41002
Q6IWH7 Q13123
Q9H2K0 P11836
Q8TAE8 P09001
Q7Z3K3 Q9UI95
Q96RE7 O14682
Q9NZB2 Q9BYC8
P62750 P25398
Q9NVM6 O00422
P05026 P30556
Q9NQX1 Q8N1G0
Q8N653 Q9H9Y6
P07858 P48735
Q9NWS0 Q9UPP1
Q96C28 Q96EL2
Q8IWL3 Q8N6L1
P01106 Q01831
O95994 P10620
O94761 Q9H2P0
P54709 P18621
P27540 Q9NR28
P24522 P21246
P62805 Q96N64
Q8N6T7 Q86U44
P05198 P41091
Q04837 Q9BQ95
Q9BYD6 Q9BQC6
Q9H0R8 Q14145
Q9UMR3 Q9HCK5
P49447 Q13520
Q9UHR6 O60832
Q99714 Q9GZZ1
Q66K41 Q8TAA9
Q9UBK5 Q04656
P49407 O00574
O00526 P60201
Q96N64 Q12830
O95619 Q9NRF9
Q9H9Y6 P57772
Q14657 Q9NXB0
Q6P5X5 Q02363
Q9BZ95 O95391
P62805 Q9Y2R4
Q8N680 Q66PJ3
Q16650 Q92560
Q9HC97 O43826
P51636 Q9Y6Y0
P10809 Q6YN16
Q9UPC5 O95169
Q9NR77 Q9BU23
O15239 O43674
O43513 Q9BUE0
O43676 P03886
P15336 P07737
Q9Y5Y3 Q96SK2
Q9Y657 Q12874
P40429 Q9UEG4
Q92905 P61313
Q8N446 P19961
P49715 O60315
O75953 Q969R5
Q9C009 Q86UP3
P14854 Q9NQE9
Q01664 Q15853
Q8NAP3 Q9BXP5
Q9NZC7 P02786
Q14CW9 Q5T6C5
Q9UBY8 Q15084
P41002 Q8N1G0
Q9Y3S2 Q9NY93
P01106 P49643
Q96KE9 Q9Y5B8
P62854 Q9HAZ2
P01308 Q9Y3E5
O60885 P51003
P35270 Q9Y3C8
O95600 Q9UI30
Q53TN4 Q96BZ8
P08047 Q04864
Q9H2C0 Q96P66
Q9NXV6 P10809
Q9Y3E5 Q96SK2
P62424 Q7L2E3
P55085 Q8WUY8
Q96LL9 P30040
Q6NUQ1 Q9BU76
Q9BZQ6 Q14697
Q12962 Q92830
P39019 Q9H8H2
Q9NX58 Q9H8H2
P41231 Q8WY22
Q9ULU4 Q13330
P17676 Q9H944
Q13887 Q15532
O95994 Q99832
P23769 Q99750
Q9Y320 Q9BWH2
Q8IV31 P27449
Q01658 Q9NS73
O95881 Q86SX6
P53539 P17535
Q92793 Q9UID6
Q9NZC7 P16615
O14960 Q9UPY3
Q9NR77 O75381
Q9NVM6 Q9UBB9
Q9NU63 P26358
Q9NRM0 O95167
Q96A29 O75695
O15446 P51608
P10176 P82912
Q96AT9 P61970
Q01201 Q8NFD5
Q96I36 Q16740
P62805 Q13123
Q13952 Q99941
O94761 P62899
P61081 P63241
Q9HAW0 O14925
P15336 Q92993
O94761 P07737
Q9Y2Q3 P10809
P04080 P07858
Q99612 Q5T6C5
Q99543 Q08211
Q14526 Q9C0K0
Q9BT56 Q15788
Q8TBP5 Q13144
Q9NWT8 Q9Y2R4
Q9Y6Y8 P62899
Q9NUH8 O95562
O75569 Q6IQ21
P61313 P62701
Q12905 O95273
Q9Y3S2 O60832
Q5SRR4 Q9P0J7
P01100 Q8WVZ9
Q8TCT7 Q8IZR5
O75626 Q9ULD9
O95994 Q15738
Q9BX68 Q9Y3D7
Q8N6T7 P54132
Q9Y6A9 P54707
Q8TBB5 P39019
O60885 P18583
Q06432 Q9Y673
Q9HC97 Q96AA3
P40692 Q9NUN7
Q92794 Q5T2D3
Q96B42 P07902
Q9NR30 Q9H8H2
Q8N653 Q8IX01
P25490 Q8IWI9
Q5VVX9 P80188
Q9Y2G8 P05388
Q9ULU4 O95365
Q9Y3E0 P13987
Q96I36 Q8N1F7
Q9NZC7 Q99460
P08195 Q8N335
Q8N3Z6 Q7Z4V5
O43823 Q9ULX6
Q12857 Q9UHF7
P14635 Q96RE7
P01282 O15240
P62805 P49450
Q99543 P62888
O96024 Q5VW38
P62280 Q05639
O95182 Q9BQ15
Q9Y4X4 P54132
P17568 P25791
Q9H1C4 O75947
P62805 P42766
P49023 Q16540
Q9Y3A0 Q9UL63
P10809 P09668
Q5VW38 Q9UI09
P10242 O75444
Q9NWS0 P78371
Q8TBM8 P26358
O15304 P21731
P28223 P08908
Q6IE81 Q9UQR1
Q9HCE5 Q13838
Q92905 Q92841
Q9UJV9 Q8IX01
Q92905 Q15102
P48651 Q674R7
O15446 Q01831
P46013 Q96JM3
O94761 Q92993
Q96D03 Q8WW01
O95274 Q8N3S3
Q8IVM8 P0CG08
P62899 P49711
Q9HBX9 P04090
P19404 Q96FT7
Q9UN42 Q86UD1
Q99497 P50990
Q9NRC8 P14635
P55197 Q14119
Q96FF9 A6H8Y1
Q9H1C4 P61073
O95994 Q96JB2
O75937 Q96ME7
P10809 Q9BSJ5
Q96EL3 Q9BYC9
P01106 Q92499
Q9BZQ6 P13667
O75381 Q99459
Q2YD98 P19447
Q13838 Q01469
O95786 Q99598
Q66K89 P60372
Q9H2F3 P49069
Q75WM6 Q9BYD6
Q12830 Q01664
Q8N6T7 Q9HBE1
P62424 Q9Y3D3
P62424 Q13206
P67870 P49711
P41182 O15156
Q8NCK7 Q9HD45
P09001 Q16540
Q8WWR8 Q96E35
O95793 P62701
Q8NCR9 O14530
O95785 Q9H410
Q9H211 O60220
Q7Z7K2 Q8NHQ9
Q5T6F2 O75593
Q9NPI6 P54886
P54274 Q14697
Q8IV13 Q71U36
Q99459 Q03169
Q9H0W5 P62424
Q9UJW3 P18146
Q9UIH9 O43823
Q6UVY6 Q9Y6A9
Q8IWL3 Q9HB40
Q13887 Q12905
Q7L5N1 Q5H9S7
P02775 P06307
Q9H2K0 Q9H0U6
Q9UKT9 Q9NX04
Q9Y5T4 Q99714
P01106 Q9ULX6
O75251 P49411
O43653 Q8NCS7
P13667 Q15084
O94778 O14901
P49450 Q9UIF9
Q9NRC8 Q14146
Q04864 O14734
Q99814 O60884
O95926 P16383
Q9Y5T4 O95182
Q86VZ1 Q01814
Q8N807 Q96HE7
O43474 Q9BUJ2
Q9NVH1 P00491
P15172 O60315
Q92905 Q53GT1
Q9NP92 Q96E35
Q9BUQ8 Q8IX18
Q9UI95 Q9NY93
Q9Y5K5 P07737
Q92905 P62424
Q9HCE5 P05388
Q92793 P18146
P01106 Q9UIG0
Q01664 P08047
P04844 Q8N6L1
Q16740 Q9Y2Q3
P01106 P00403
O95994 P62899
Q96HE9 Q96K58
Q92830 P01106
O14497 Q68CP9
Q96HE9 Q96CS4
Q9HBX9 Q9NQ11
Q9UKJ3 Q9Y5L4
O95994 P07737
Q9Y2T7 Q7L2E3
Q8TF50 Q9BXP2
P39019 Q9UEG4
O00624 Q9UHW9
P50991 P48643
Q99814 Q9P086
Q9NX58 Q9BUJ2
P30556 Q9P055
A8MW92 Q86YP4
Q96KC8 P26373
Q96DT7 P26196
O94761 Q9BQ95
Q8N4Q1 Q8IZD4
O94761 Q14919
Q9Y221 P35268
Q08050 P10244
P01106 Q00796
P46013 P40429
O94778 Q04941
Q9Y2T5 Q9H2C2
P53567 Q02930
P16401 P46782
Q9H2F3 P19634
Q6PHW0 P62899
Q9GZQ4 P04920
Q16637 Q96PQ7
Q7L775 Q8TBC5
Q9H2F3 O14683
Q9UHB6 P68543
P09622 P13010
Q8TCC3 Q9BYC9
Q6P1W5 Q96NJ5
P13667 P02786
Q6P9B9 Q9ULU4
Q96KC8 P05388
Q99583 P61244
O95786 Q92620
P26373 Q9BYC9
Q02363 Q9UEE9
Q10586 P49715
Q96IZ7 Q9UBB9
Q8IY92 Q14197
O15534 Q15042
P15172 Q12830
P86480 O75909
Q9H1X3 Q6NUQ1
Q92905 P10809
P40429 Q5T653
Q96S59 Q9UL63
P55000 Q5H8A4
O43474 P39019
Q12906 Q96L73
Q9UHI5 P0CG08
Q9NRC8 Q09161
Q9BVI0 P51610
P35269 Q969S3
P62805 Q9ULX9
P52434 Q96HR3
O60832 P42766
Q8WXI9 Q86YP4
P49407 Q9UQ35
Q96CK0 Q9H7E9
Q9NZB2 Q96KE9
Q86UK7 Q5T749
O60885 Q15648
Q86U44 Q15369
O15372 Q9NPI6
Q9NWS0 Q8TF01
P62899 Q7Z2T5
Q7L5N1 P78396
O75569 Q9BWE0
Q96DD7 Q6ICB0
P51608 P62805
Q96JQ5 Q96JJ7
Q9Y2G8 Q9Y6M7
O94761 Q13428
O15235 Q9BX68
Q9NVR0 P29373
Q14562 Q9NXE8
Q16254 P10244
Q13520 O95562
Q16637 Q5MJ10
Q9NR30 Q9UEG4
Q9NX58 P39019
Q86U44 P26373
Q8IWL3 Q13838
Q96EG3 Q5T619
Q6EEV4 Q9P2N7
P18847 Q92793
Q9NSC2 Q9Y467
Q12952 P07199
Q96HJ3 Q8N661
P46663 O00574
O43653 Q8N5M9
Q9BUZ4 Q05516
P09234 Q6IBW4
P32302 O15467
P05198 Q9NR50
Q9Y221 P61313
Q9H1Y0 Q8WUD4
Q5VVQ6 P37840
Q13520 Q5JRM2
Q8IX18 Q96BK5
P78371 P49368
Q7KZN9 Q9P0M6
Q99497 P47710
O94817 P55011
P17676 P08047
Q9UPY3 P61247
Q9BYX4 O94830
P04080 P43234
Q15697 Q9NWS9
Q9NWS0 O75643
Q12947 Q13951
P54259 Q99750
Q9UJV9 O43290
O94761 P38919
Q96S59 P35268
P01308 O14734
Q86UK7 P17987
O43614 Q8TAD4
Q14872 Q9NVP1
P08047 Q08380
O15488 Q9NRP0
Q8NAP3 P51610
Q92665 Q9Y3D3
P01106 Q9Y5B8
P49711 P62280
Q9NWT8 P56556
O43826 P47929
P35244 Q9UHB6
Q9Y2T6 O15321
Q8IXK0 P55198
Q96I36 Q9NVH1
Q9BY14 P10809
O14880 Q16775
Q9NV29 Q13520
O15321 Q13428
Q9NR30 Q96GQ7
Q6IE81 O75161
P02786 P15291
O60925 Q71U36
Q8IYD1 Q5BKZ1
O15055 P06744
Q8N6T7 Q9NXX6
Q9BUZ4 Q8NCA9
Q9Y2Q3 Q7Z4W1
P55316 P55265
Q8IWL3 O15498
Q96LL9 Q92665
O95600 Q9UHF7
Q9NR30 P39019
Q99081 Q7RTU1
Q9NZC7 P04844
A1L4L8 P40227
P62256 Q9Y3C8
Q5MJ10 O14628
O95786 Q16254
Q8N0V3 Q96EB6
Q14657 Q04941
Q9H9D4 Q3KQV3
P51608 Q8TF39
Q96GC6 Q9P0M9
P18621 Q9NP92
O95793 P41091
Q68DK7 Q9NV56
Q9H0U6 P49411
Q96IT1 Q969J2
Q16795 P03905
P05026 P54707
P35372 P78369
Q7Z602 Q9NWQ8
O94761 Q96S59
Q9NP92 Q13405
O95273 Q96C28
P35520 P61604
Q9UIH9 Q9NY93
Q99750 Q9BV40
Q96JM3 Q5VZL5
Q96IW7 P35372
Q9Y6K1 Q14526
Q96HH4 Q96HA1
P30550 Q6N075
Q6ZSB9 Q96BR9
Q92905 P31153
P02786 O15498
P01106 Q9UJV9
Q9UHI6 Q9UHK0
Q9BX68 O75879
Q96D03 Q14119
O95793 P54886
Q9NR28 Q9GZZ1
Q9BUZ4 Q9C0C9
Q9UIH9 Q969R5
P21675 Q9P2R6
Q96J42 Q9NVU7
Q9H1C4 Q8TED1
Q9ULX6 Q9HBE1
Q9BU76 P26373
Q9H300 O00746
Q6NUN9 P37108
Q9NUH8 Q9Y5U9
Q9UIH9 Q2VY69
Q99832 P40227
Q8IY34 P57678
Q99081 Q6QHK4
Q13562 Q99081
Q9NR55 P18847
Q8TA86 Q8TAA9
P07305 Q8NC60
O43914 Q9H7F0
Q9Y3S2 Q96BK5
Q99750 Q96C00
Q6ZN17 Q8N680
P01308 P04080
P62805 O95243
Q9UJX6 Q99707
Q9Y5Y3 Q8TB37
Q8IYD8 Q96E14
O95365 Q08211
Q16762 Q9H299
P62847 Q9Y3D5
Q02363 Q05639
P35244 P57678
Q9HCE5 P62851
Q8TAE8 Q9NRX2
Q9Y258 Q9Y6M7
Q6P158 P62750
Q9NV56 Q9H2F5
Q9GZM5 Q9UI09
Q8NEP7 P78396
P01106 P42166
O14958 Q8N8A6
Q96FI4 Q9GZR7
Q6IAA8 P51798
Q53RY4 Q9H4A6
P51610 P54259
P39019 Q9H2U1
Q9UJQ4 Q86YP4
Q9UKX7 Q6IQ16
P40429 Q6ZN55
Q66PJ3 P30519
O15488 Q9NXA8
Q68CJ9 Q5J8X5
P61513 Q96GQ7
Q96LT7 P63208
Q96KC8 Q9Y6M7
Q9BU76 Q9Y450
O75953 Q96EB6
Q96CK0 Q9UL40
Q9H300 Q92665
Q13304 O75907
P61513 P39019
Q9P0M9 Q5T653
Q13887 Q9NVP1
Q15047 Q9Y6K1
Q9HB58 Q9C0C9
Q92794 Q6Y288
Q9Y2K1 Q92499
Q6IAA8 P55011
P17542 Q9C0K0
Q8TED1 Q16617
O95968 Q75T13
Q09161 Q96IZ7
Q7Z7K2 Q9BYC8
Q9H633 Q9BT73
Q8WYA1 Q16740
P54274 Q13162
Q5SSJ5 Q12857
Q92665 P82912
O75112 A7XYQ1
Q9BZS1 P07199
Q8N567 Q9NRP2
Q12948 Q7Z6I8
O60216 P00403
P62805 P48382
O00762 Q8WWK9
P41002 Q96AN5
Q7L5N1 Q9BYV9
Q9BYV9 O14682
O95994 Q96L73
P63279 Q13569
Q12830 Q16236
Q9UI09 Q16718
Q9Y3S2 Q14202
Q8IV20 P49327
O60884 Q9Y450
Q9Y3A0 Q9BYD6
Q99081 Q92886
P07858 P01308
O95994 P38919
P30968 P21731
Q9C002 P09669
P35244 Q6NZY4
O75569 Q9NVP1
Q9UHI6 Q9UPY3
Q13127 P62263
Q15596 P62805
Q9H582 Q7Z3K3
P49407 P25105
P01308 Q8TD22
O75569 P62847
P49146 O15255
Q8TD33 Q11206
P10809 O75879
Q8IVM8 Q9NWH2
P62072 P80188
P30989 P56385
Q9Y3S2 Q92576
P61244 Q9NRL2
Q6EEV4 P36954
Q92583 P02778
Q9H2C0 P78371
Q9Y2T7 P82912
Q9Y3A0 P10809
P59991 Q8WWB5
Q9NZC7 Q14165
P09622 P41227
P02724 Q96BI1
Q13952 Q969R5
O14842 Q8TB61
P85037 Q5T4S7
Q9BUE0 Q9H944
O94761 P14635
Q15788 Q15562
Q9BVW5 Q9BRT9
P40429 Q96MX3
O00422 Q9BXP5
Q8N6T7 Q7Z2T5
Q15942 Q9NPI6
Q8NHZ7 Q9Y2U9
P49368 Q13371
Q9H0R8 Q70SY1
Q99757 Q8IZU0
P01106 Q6P158
P78563 O00566
Q7KZN9 O75306
P22674 O00409
P55085 Q14728
Q9Y3S2 P62424
P01106 Q96EL3
Q9Y5K5 O43396
Q8N680 Q9H9B4
Q8TED1 O95183
P62805 Q9Y618
Q9H3R0 P00491
Q8WUD4 Q69YN2
Q9P2G3 Q9Y6J9
Q8N6G5 Q6NXT4
Q16581 Q8WUY8
Q9Y3E0 O95169
Q6NUN9 Q9UDV6
Q02363 P47928
P00403 Q8N4H5
P55773 O00585
Q9NUH8 Q8N5M9
Q04837 P82930
Q9UBK5 Q8N2G8
Q9H2A3 P50553
O95786 P31358
Q8IWL3 Q7L2E3
Q9BPU9 Q9UKX7
P63241 Q9H3R0
Q7Z3K3 Q96JM3
P25791 Q8WVZ9
P78371 Q9P2G9
P15313 Q8IY95
Q9H211 P78396
Q9Y320 Q13520
Q8TED1 Q96P66
Q03135 P52569
Q9H9B4 Q9Y5L4
Q92993 Q96IK5
P10073 Q8N0Y2
O43826 P54707
O00487 Q9Y573
Q9ULD5 Q6P158
P62805 Q8WXX5
Q96BK5 Q9UNL2
Q96HC4 P54253
Q53GT1 Q8NC60
P10176 Q6YN16
Q9NWS0 P23396
Q16540 P26373
Q9H2C0 Q9UHR6
P78396 P16401
P10176 Q9BVJ6
P30041 Q9Y5J7
Q9NP92 O75879
P13667 P04844
O95793 Q9P2P1
Q9H0W5 P62805
P36956 O75586
Q01664 Q68CP9
O75626 Q9UHF7
Q96NT0 Q8TDZ2
Q96S59 P62424
Q92905 Q5TAX3
P46663 Q6PIZ9
P39019 P45880
Q68CJ9 Q70SY1
Q96LX8 Q9NXX6
Q8NCK7 Q66K89
O60885 Q9NR33
P63279 P21675
Q12952 Q12948
Q70JA7 Q92791
Q8IXK0 Q92993
A2A3N6 Q9BQ83
O15446 Q9ULU4
O75251 Q9NVH6
Q53TN4 Q8N344
Q16540 Q9BYC8
Q9UL40 Q5BKZ1
O60885 P07199
Q9H6H4 Q9Y385
Q8IY34 P03928
O60885 Q9H1A4
P32245 Q96HH6
P01106 Q75T13
P62805 Q96CB8
P86480 P54253
Q86W47 Q5J8X5
P78563 Q9BRJ6
Q14973 Q07325
Q92793 P35659
Q8NCC5 Q03135
Q9UIS9 O15198
Q96D03 Q9BRT3
P62266 P62854
O94761 Q09161
Q9BSR8 Q15041
P15172 Q8IWI9
Q969J2 Q15697
P10070 Q8TBC5
Q14697 P49368
Q5T749 Q9H2F3
Q9C002 O95169
Q01831 Q9P0M6
Q99731 O00585
Q5F1R6 Q92665
Q96IT1 Q8TF39
Q14493 P41002
P57055 Q9UM22
Q9UFB7 Q5VYS8
Q9Y6Y8 Q09161
Q96EY1 Q16740
Q96E52 Q9BQ95
P42166 Q96KC8
Q96S59 P10809
Q13323 Q8N661
O95182 P68036
Q6IBW4 Q9H2P0
Q92793 Q9UJ78
Q6P9G9 P10073
Q03135 P38117
Q15274 Q9H2P0
P62750 P23396
P39019 Q6ZN55
Q96FT7 O14901
P53539 P15336
Q9NRC8 P26358
Q99598 O75223
O60216 P42166
Q86T24 Q92993
Q9NR12 Q96HC4
Q13330 Q8IXH7
Q13113 P05090
Q9ULD4 Q9NW75
Q8NFB2 P50440
P55317 P07741
P10244 Q96KM6
Q9Y3E0 P38117
A6H8Y1 O43298
O15446 O75151
Q96C55 Q7L2E3
Q68E01 Q9BQ15
Q9H9Y6 P41091
Q8IV16 O75419
Q8NDX5 Q9UN30
Q9UKD1 Q9Y692
Q8WVZ9 Q9NRC8
P55316 P19404
Q9H2F3 O75396
Q9Y2Y9 Q92908
Q9P2R6 Q8N653
Q8N3Z6 Q9NWK9
Q9Y2Y0 P17987
P62633 Q9UNL4
Q92793 Q15047
O15446 O75937
P38919 P62280
P17040 Q8TBC5
O43638 Q86UK7
Q96MX3 Q9GZR7
O75376 P17676
Q15554 Q9Y2X9
P26373 Q96K58
Q13887 P51610
Q9H2F3 Q9H7F0
Q08211 P13010
Q6NUQ1 Q5TEC3
Q8TDS5 P86480
P16152 P83876
O43889 Q16649
P59991 Q6PEX3
O75569 O00566
O60885 P82650
Q9Y385 O43889
Q8IWL3 Q9Y3D3
Q8NFY9 P49407
O75190 Q13123
Q9Y3I1 P17987
Q96C28 A6NFI3
Q96D03 O75909
Q9NZC7 P40227
Q9UBV7 Q8IY95
Q8IWL3 Q96EY8
Q9H1Y3 Q13144
O95786 Q96ME7
P49768 O00487
P35269 Q13887
O95786 P23381
O60609 O94766
P15923 P26358
A6NCF5 Q99832
Q5VU57 P48643
Q9H0R8 P62750
Q8IWL3 Q16718
Q9NYW4 O95562
Q92611 Q9NYU2
O95600 Q969J2
Q9HC97 Q96T83
Q9NXB0 Q9GZR7
Q9BX68 Q13423
Q92620 Q9GZP4
Q56P03 O75643
Q9UIH9 O15014
Q9Y3E0 O75306
Q99598 Q92993
Q9NWQ8 Q05639
Q15800 Q9UKR5
Q9BU76 O60911
P13667 Q14165
Q9H0C1 Q99757
O75478 Q92889
Q08380 Q8NCJ5
Q06136 Q8NHS3
P63279 Q9Y2K1
Q92993 P01583
P10176 Q9BSJ5
Q9ULM3 Q9NRF9
O75937 Q03188
P35659 P61513
Q9NUL7 O00746
Q9UBK5 Q6P9B9
Q9UL58 P57086
Q96EB6 Q02577
P01308 Q15738
P51808 P23396
O75964 Q9H9B4
P35270 P31939
P01106 Q9NVP1
Q9BUZ4 Q9BYV9
Q9BSJ5 O00746
P61604 P48643
O43612 P21554
Q9NUH8 Q9HD20
Q96Q45 P02724
P61086 Q8TF68
P16401 P61247
Q99081 O43741
P01106 P62847
Q8N4Q1 P55789
Q8IWL3 Q96KA5
Q92793 P24863
Q13520 Q8N5M9
Q9H9D4 Q92610
Q9UF47 Q8TAA9
Q9BX68 P82930
P09622 Q9GZZ1
P25105 Q9HD20
Q9Y6B7 Q9H609
Q9BYS1 Q02930
Q9NRX4 P0C7T5
Q5JX71 Q9NVC3
O95793 Q99459
O75683 Q9P2X3
Q9H2S9 Q32P28
Q15047 Q96FT9
Q717R9 Q8WUY1
Q9H8H2 O60832
O00746 Q9Y5B8
O95600 P06454
Q9UI95 P10809
P18510 Q8IV16
Q9H1C4 P17987
Q71U36 O14734
P26373 Q9P0M9
P62633 Q9BWE0
P62805 P18847
O95994 Q09161
Q66K89 Q6ZN55
P17028 Q8N0Y2
Q8N720 P62072
Q9NUL7 Q92665
Q86U44 P49368
Q9BRP0 Q9Y573
O75683 Q5VYS8
Q99459 O43823
Q08050 O43290
P24863 P78371
Q9NS75 Q8N4V2
O00422 Q96MU7
P30086 Q9NXE8
P54709 P35268
Q8NES3 P40227
Q04864 Q05516
